sub_category_id,article_id,
54,1,
45,1,
53,1,
57,1,
58,1,
54,2,
45,2,
53,2,
57,2,
58,2,
54,3,
45,3,
53,3,
57,3,
58,3,
54,4,
45,4,
53,4,
57,4,
58,4,
54,5,
45,5,
53,5,
57,5,
58,5,
54,6,
45,6,
53,6,
57,6,
58,6,
54,7,
45,7,
53,7,
57,7,
58,7,
54,8,
45,8,
53,8,
57,8,
58,8,
54,9,
45,9,
53,9,
57,9,
58,9,
54,10,
45,10,
53,10,
57,10,
58,10,
54,11,
45,11,
53,11,
57,11,
58,11,
54,12,
45,12,
53,12,
57,12,
58,12,
54,13,
45,13,
53,13,
57,13,
58,13,
4,14,
54,14,
53,14,
57,14,
58,14,
54,15,
45,15,
53,15,
57,15,
58,15,
40,16,
43,16,
44,16,
53,16,
53,17,
44,17,
26,17,
55,17,
57,17,
58,17,
53,18,
44,18,
26,18,
55,18,
57,18,
58,18,
53,19,
44,19,
26,19,
55,19,
57,19,
58,19,
53,20,
44,20,
41,20,
55,20,
57,20,
58,20,
56,20,
53,21,
44,21,
41,21,
55,21,
57,21,
58,21,
56,21,
53,22,
44,22,
41,22,
55,22,
57,22,
58,22,
56,22,
53,23,
44,23,
41,23,
55,23,
57,23,
58,23,
56,23,
53,24,
44,24,
41,24,
55,24,
57,24,
58,24,
56,24,
7,25,
53,25,
44,25,
55,25,
46,25,
58,25,
53,26,
44,26,
41,26,
55,26,
56,26,
58,26,
40,26,
53,27,
44,27,
41,27,
55,27,
56,27,
58,27,
40,27,
53,28,
44,28,
41,28,
55,28,
56,28,
58,28,
40,28,
53,29,
44,29,
41,29,
55,29,
56,29,
58,29,
40,29,
53,30,
44,30,
27,30,
58,30,
55,30,
40,30,
53,31,
44,31,
27,31,
58,31,
55,31,
40,31,
7,32,
9,32,
26,32,
55,32,
58,32,
53,32,
59,32,
27,33,
34,33,
58,33,
53,33,
44,33,
55,33,
27,34,
34,34,
58,34,
53,34,
44,34,
55,34,
41,35,
58,35,
53,35,
44,35,
55,35,
60,35,
41,36,
58,36,
53,36,
44,36,
55,36,
60,36,
6,37,
26,37,
2,37,
41,37,
58,37,
53,37,
44,37,
55,37,
58,38,
53,38,
55,38,
44,38,
58,39,
53,39,
55,39,
44,39,
7,40,
53,40,
61,40,
44,41,
53,41,
62,41,
63,41,
58,41,
44,42,
53,42,
62,42,
63,42,
58,42,
44,43,
53,43,
62,43,
63,43,
58,43,
44,44,
53,44,
62,44,
63,44,
58,44,
53,45,
4,45,
7,45,
35,45,
62,45,
63,45,
53,46,
4,46,
7,46,
35,46,
62,46,
63,46,
2,47,
7,47,
13,47,
59,47,
24,47,
63,47,
2,48,
7,48,
13,48,
59,48,
24,48,
63,48,
2,49,
7,49,
13,49,
59,49,
24,49,
63,49,
2,50,
7,50,
13,50,
59,50,
24,50,
63,50,
2,51,
7,51,
13,51,
59,51,
24,51,
63,51,
2,52,
7,52,
13,52,
59,52,
24,52,
63,52,
2,53,
5,53,
7,53,
9,53,
15,53,
22,53,
59,53,
23,53,
42,53,
55,53,
32,54,
35,54,
54,54,
37,54,
32,55,
35,55,
54,55,
37,55,
32,56,
35,56,
54,56,
37,56,
32,57,
35,57,
54,57,
37,57,
32,58,
35,58,
54,58,
37,58,
44,59,
53,59,
54,59,
22,59,
57,59,
63,59,
64,59,
44,60,
53,60,
54,60,
22,60,
57,60,
63,60,
64,60,
44,61,
53,61,
54,61,
22,61,
57,61,
63,61,
64,62,
44,62,
53,62,
54,62,
22,62,
57,62,
63,62,
64,63,
44,63,
53,63,
54,63,
22,63,
57,63,
63,63,
64,63,
1,64,
7,64,
8,64,
10,64,
53,64,
12,64,
35,64,
62,64,
1,65,
7,65,
8,65,
10,65,
53,65,
12,65,
35,65,
62,65,
1,66,
7,66,
8,66,
10,66,
53,66, 
12,66,
35,66,
62,66,
